Step,AliveRuns,AvgCommitters,AvgContributors
960,3991,79.99,113.01
961,3991,80.09,113.11
962,3991,80.19,113.20
963,3991,80.28,113.32
964,3991,80.38,113.42
965,3991,80.47,113.53
966,3991,80.57,113.63
967,3991,80.67,113.74
968,3991,80.76,113.85
969,3991,80.86,113.95
970,3991,80.96,114.04
971,3991,81.05,114.14
972,3991,81.15,114.23
973,3991,81.25,114.33
974,3991,81.34,114.44
975,3991,81.43,114.55
976,3991,81.52,114.65
977,3991,81.62,114.75
978,3991,81.71,114.85
979,3991,81.81,114.95
980,3991,81.91,115.05
981,3991,82.00,115.16
982,3991,82.10,115.25
983,3991,82.21,115.35
984,3991,82.30,115.46
985,3991,82.39,115.58
986,3991,82.49,115.67
987,3991,82.58,115.77
988,3991,82.68,115.87
989,3991,82.78,115.98
990,3991,82.88,116.07
991,3991,82.98,116.17
992,3991,83.07,116.28
993,3991,83.16,116.39
994,3991,83.26,116.49
995,3991,83.35,116.61
996,3991,83.44,116.72
997,3991,83.53,116.83
998,3991,83.63,116.93
999,3991,83.71,117.05
1000,3991,83.81,117.16
1001,3991,83.90,117.27
1002,3991,84.00,117.37
1003,3991,84.10,117.46
1004,3991,84.20,117.58
1005,3991,84.30,117.68
1006,3991,84.39,117.78
1007,3991,84.48,117.88
1008,3991,84.57,117.99
1009,3991,84.66,118.10
1010,3991,84.75,118.21
1011,3991,84.84,118.32
1012,3991,84.94,118.44
1013,3991,85.03,118.53
1014,3991,85.12,118.64
1015,3991,85.22,118.74
1016,3991,85.31,118.84
1017,3991,85.41,118.94
1018,3991,85.51,119.05
1019,3991,85.60,119.15
1020,3991,85.69,119.26
1021,3991,85.79,119.36
1022,3991,85.89,119.46
1023,3991,85.98,119.57
1024,3991,86.08,119.67
1025,3991,86.18,119.76
1026,3991,86.27,119.89
1027,3991,86.38,119.99
1028,3991,86.47,120.09
1029,3991,86.57,120.21
1030,3991,86.67,120.30
1031,3991,86.77,120.40
1032,3991,86.86,120.50
1033,3991,86.96,120.60
1034,3991,87.05,120.71
1035,3991,87.15,120.81
1036,3991,87.24,120.93
1037,3991,87.33,121.03
1038,3991,87.43,121.13
1039,3991,87.52,121.24
1040,3991,87.61,121.35
1041,3991,87.70,121.46
1042,3991,87.80,121.56
1043,3991,87.89,121.67
1044,3991,87.99,121.78
1045,3991,88.08,121.88
1046,3991,88.18,121.98
1047,3991,88.27,122.07
1048,3991,88.37,122.18
1049,3991,88.46,122.29
1050,3991,88.55,122.39
1051,3991,88.63,122.51
1052,3991,88.73,122.63
1053,3991,88.83,122.73
1054,3991,88.91,122.86
1055,3991,89.01,122.96
1056,3991,89.10,123.08
1057,3991,89.20,123.19
1058,3991,89.30,123.29
1059,3991,89.39,123.39
1060,3991,89.49,123.50
